,Brokerage Name,Website,Phone,Email
0,The Agency,https://www.theagencyre.com/,(424) 230-3700,info@theagencyre.com
1,Nourmand & Associates,https://www.nourmand.com/,(323) 462-6262,info@nourmand.com
2,Compass,https://www.compass.com/,(310) 230-5478,info@compass.com
3,Keller Williams Realty,https://www.kw.com/,(310) 482-2500,info@kw.com
4,Coldwell Banker Residential Brokerage,https://www.coldwellbankerhomes.com/,(310) 777-6200,info@coldwellbanker.com
5,Douglas Elliman Real Estate,https://www.elliman.com/,(310) 595-3888,info@elliman.com
6,Sotheby's International Realty,https://www.sothebysrealty.com/,(310) 786-1812,info@sothebysrealty.com
7,Hilton & Hyland,https://www.hiltonhyland.com/,(310) 278-3311,info@hiltonhyland.com
8,John Aaroe Group,https://www.aaroe.com/,(323) 665-1700,info@aaroe.com
9,Rodeo Realty,https://www.rodeore.com/,(310) 471-2600,info@rodeore.com
10,Partners Trust,https://www.partnerstrust.com/,(310) 500-1331,info@partnerstrust.com
11,Pacific Union International,https://www.pacificunion.com/,(415) 929-7100,info@pacunion.com
12,Zephyr Real Estate,https://www.zephyrre.com/,(415) 674-6500,info@zephyrre.com
13,Vanguard Properties,https://www.vanguardproperties.com/,(415) 321-7000,info@vanguardproperties.com
14,RentSFNow,https://www.rentsfnow.com/,(415) 736-1000,info@rentsfnow.com
15,The Rental Girl,https://www.therentalgirl.com/,(323) 951-2200,info@therentalgirl.com
16,LUXJB,https://www.luxjb.com/,(415) 847-0742,info@luxjb.com
17,Bay Property Group,https://www.baypropertygroup.com/,(415) 525-1145,info@baypropertygroup.com
18,Urban Living Real Estate,https://www.urbanlivingla.com/,(213) 507-2736,info@urbanlivingla.com
19,Figure 8 Realty,https://www.figure8realty.com/,(213) 973-8078,info@figure8realty.com
20,RE/MAX Estate Properties,https://www.realestatelosangeles.com/,(310) 559-5570,info@remaxep.com
21,PLG Estates,https://www.plgestates.com/,(323) 929-7653,info@plgestates.com
22,L.A. Property Management Group,https://www.lapropertymgmt.com/,(323) 255-9400,info@lapropertymgmt.com
23,Scott Properties Group,https://www.scott-properties.com/,(323) 578-5396,info@scott-properties.com
24,Coastal Real Estate Group,https://www.coastalregroup.com/,(310) 621-6299,info@coastalregroup.com
25,JRealty,https://www.jrealty.org/,(888) 868-6156,info@jrealty.org
26,JEM Properties,https://www.jempropertiesla.com/,(323) 951-0708,info@jempropertiesla.com
27,Realty Group International,https://www.rgico.com/,(310) 927-0864,info@rgico.com
28,Wilshire Realty Group,https://www.wilshirerealtygroup.com/,(323) 655-1000,info@wilshirerealtygroup.com
29,RTI Properties,https://www.rtiproperties.com/,(310) 532-9080,info@rtiproperties.com
30,Crescent Canyon Management,https://www.crescent-canyon.com/,(323) 930-0877,info@crescent-canyon.com
31,LBPM,https://www.lbpm.com/,(818) 981-1802,info@lbpm.com
32,Renters Warehouse,https://www.renterswarehouse.com/,(213) 293-6056,info@renterswarehouse.com
33,California Leasing and Management,https://www.californialeasing.com/,(661) 294-8500,info@californialeasing.com
34,Utopia Management,https://www.utopiamanagement.com/,(888) 293-9737,info@utopiamanagement.com
35,Sullivan-Dituri Co.,https://www.sullivandituri.com/,(310) 453-3341,info@sullivandituri.com
36,Real Property Management West San Fernando Valley,https://www.rpmwestvalley.com/,(818) 727-0100,info@rpmwestvalley.com
37,"LRS Realty & Management, Inc.",https://www.lrspropertymanagement.com/,(818) 884-5155,info@lrspropertymanagement.com
38,Renu Property Management,https://www.renumgt.com/,(866) 500-7064,info@renumgt.com
39,"Blackstone Realty & Management, Inc.",https://www.blackstonepm.com/,(310) 801-6235,info@blackstonepm.com
40,Horizon Management,https://www.horizonrealty.com/,(310) 967-3000,info@horizonrealty.com
41,EZ Properties,https://www.ezprop.com/,(323) 931-1114,info@ezprop.com
42,Meridian Property Management,https://www.meridianpm.com/,(818) 249-7368,info@meridianpm.com
43,San Diego Premier Property Management,https://www.sdpremierpm.com/,(619) 500-3375,info@sdpremierpm.com
44,GHP Management,https://www.ghpmgmt.com/,(213) 213-965-1111,info@ghpmgmt.com
45,ICM Resources,https://www.icmresources.com/,(310) 531-9666,info@icmresources.com
46,MBP Management,https://www.mbpmanagement.com/,(323) 969-9111,info@mbpmanagement.com
47,RCMI Property Management,https://www.rcmiprop.com/,(310) 473-7595,info@rcmiprop.com
48,Westside Property Management,https://www.westsidepropertymanagement.com/,(310) 313-0065,info@westsidepropertymanagement.com
49,RNB Property Management,https://www.rnbprop.com/,(310) 785-6766,info@rnbprop.com
50,Stone Property Management,https://www.stonepropertymanagement.com/,(310) 450-1400,info@stonepropertymanagement.com
51,Trio Property Management,https://www.triopm.com/,(805) 964-1200,info@triopm.com
52,Wilshire Management,https://www.wilshiremgmt.com/,(310) 826-0008,info@wilshiremgmt.com
53,Platinum Equity,https://www.platinumequity.com/,(310) 712-1850,info@platinumequity.com
54,Real Property Management Choice,https://www.rpmchoice.com/,(310) 535-2150,info@rpmchoice.com
55,Southern California Property Management,https://www.socalpropertymanagement.com/,(714) 445-8685,info@socalpropertymanagement.com
56,Evolve Realty & Management,https://www.evolverm.com/,(702) 268-6663,info@evolverm.com
57,Real Property Management California Coast,https://www.rpmcalcoast.com/,(310) 535-2150,info@rpmcalcoast.com
